k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
2119,18.416666666666668,18.048333333333332,4.744897959183674,4.65,0.6122448979591837,0.6,13.979591836734695,13.7,0.0,0.0,0.0,47.91638399999556,46.95805631999564,1392.8000000000002,2604.9,0.0,47.91638399999556,0.0,835.9,0.01,0,1.0
2120,17.916666666666668,17.558333333333334,4.683673469387755,4.59,0.7142857142857142,0.7,13.877551020408163,13.6,0.0,0.0,0.0,47.91643200000635,46.95810336000623,1392.0,2604.9,0.0,47.91643200000635,0.0,881.8,0.01,0,1.0
2121,17.833333333333332,17.476666666666667,4.683673469387755,4.59,0.6122448979591837,0.6,13.36734693877551,13.1,0.0,0.0,0.0,47.91647999998986,46.95815039999006,1391.2,2604.9,-1.0,47.91647999998986,0.0,931.4,0.01,0,1.0
2122,18.166666666666668,17.803333333333338,4.673469387755103,4.58,0.6122448979591837,0.6,13.061224489795919,12.8,0.0,0.0,0.0,47.91652800000065,46.95819744000064,1390.4,2604.9,-2.0,47.91652800000065,0.0,946.3,0.01,0,1.0
2123,17.750000000000004,17.395000000000003,4.591836734693878,4.5,0.6122448979591837,0.6,14.081632653061225,13.8,0.0,0.0,0.0,47.916575999997804,46.958244479997845,1389.6000000000001,2604.9,0.0,47.916575999997804,0.0,967.7,0.01,0,1.0
2124,18.5,18.130000000000003,4.744897959183674,4.65,0.7142857142857142,0.7,14.591836734693878,14.3,0.0,0.0,0.0,47.916623999994954,46.95829151999506,1388.8000000000002,2604.9,2.0,47.916623999994954,0.0,916.1,0.01,0,1.0
2125,21.583333333333332,21.151666666666667,4.642857142857143,4.55,0.6122448979591837,0.6,14.081632653061225,13.8,0.0,0.0,0.0,47.91667200000575,46.95833856000563,1388.0,2604.9,-1.0,47.91667200000575,0.0,904.8,0.01,0,1.0
2126,16.75,16.415,4.653061224489797,4.5600000000000005,0.6122448979591837,0.6,12.448979591836734,12.2,0.0,0.0,0.0,47.916719999989255,46.95838559998947,1387.2,2604.9,0.0,47.916719999989255,0.0,937.6,0.01,0,1.0
2127,16.75,16.415,4.693877551020408,4.6,0.6122448979591837,0.6,12.653061224489797,12.4,0.0,0.0,0.0,47.91676800000005,46.95843264000004,1386.4,2604.9,1.0,47.91676800000005,0.0,950.0,0.01,0,1.0
2128,16.166666666666664,15.843333333333332,4.673469387755103,4.58,0.6122448979591837,0.6,12.755102040816327,12.5,0.0,0.0,0.0,47.9168159999972,46.958479679997254,1385.6000000000001,2604.9,0.0,47.9168159999972,0.0,908.3,0.01,0,1.0
2129,16.583333333333336,16.251666666666665,4.704081632653061,4.61,0.6122448979591837,0.6,12.551020408163266,12.3,0.0,0.0,0.0,47.91686399999435,46.95852671999446,1384.8000000000002,2604.9,-1.0,47.91686399999435,0.0,888.1,0.01,0,1.0
2130,16.666666666666668,16.333333333333336,5.408163265306123,5.3,0.6122448979591837,0.6,13.775510204081632,13.5,0.0,0.0,0.0,47.91691200000514,46.95857376000504,1384.0,2604.9,0.0,47.91691200000514,0.0,886.5,0.01,0,1.0
