k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
51,0.0,0.0,0.9680851063829786,0.9099999999999999,0.5319148936170213,0.5,11.489361702127662,10.8,-59999987.010638334,0.0,0.0,0.0,60000000.0,1891.015331388098,1864.5600000000002,0.0,0.0,15.3,-0.3,12.04,0.0
52,0.0,0.0,0.9255319148936167,0.8699999999999999,0.5319148936170213,0.5,11.063829787234043,10.4,-59999987.4787234,0.0,0.0,0.0,60000000.0,1890.9964212346822,1864.5600000000002,0.0,0.0,13.2,-0.4,12.04,0.0
53,0.0,0.0,1.0531914893617023,0.99,0.5319148936170213,0.5,10.957446808510639,10.3,-59999987.45744686,0.0,0.0,0.0,60000000.0,1890.977511270572,1864.5600000000002,0.0,0.0,14.3,-0.5,12.04,0.0
54,0.0,0.0,1.127659574468085,1.06,0.5319148936170213,0.5,11.702127659574467,11.0,-59999986.63829787,0.0,0.0,0.0,60000000.0,1890.958601495484,1864.5600000000002,0.0,0.0,15.199999999999998,-0.5,12.04,0.0
55,0.0,0.0,1.0425531914893618,0.9800000000000001,0.5319148936170213,0.5,12.446808510638295,11.7,-59999985.97872346,0.0,0.0,0.0,60000000.0,1890.9396919094445,1864.5600000000002,0.0,0.0,16.3,-0.3,12.04,0.0
56,0.0,0.0,1.0638297872340425,1.0,0.5319148936170213,0.5,10.638297872340424,10.0,-59999987.76595745,0.0,0.0,0.0,60000000.0,1890.9207825125195,1864.5600000000002,0.0,0.0,14.2,-0.4,12.04,0.0
57,0.0,0.0,0.9893617021276597,0.93,0.5319148936170213,0.5,10.638297872340424,10.0,-59999987.840425566,0.0,0.0,0.0,60000000.0,1890.9018733047005,1864.5600000000002,0.0,0.0,14.2,-0.6,12.04,0.0
58,0.0,0.0,0.9893617021276597,0.93,0.5319148936170213,0.5,10.851063829787233,10.2,-59999987.627659574,0.0,0.0,0.0,60000000.0,1890.882964286022,1864.5600000000002,0.0,0.0,13.2,-0.7,12.04,0.0
59,0.0,0.0,1.0000000000000002,0.9400000000000002,0.5319148936170213,0.5,9.361702127659575,8.8,-59999989.10638302,0.0,0.0,0.0,60000000.0,1890.8640554563249,1864.5600000000002,0.0,0.0,13.2,-0.6,12.04,0.0
60,0.0,0.0,1.5106382978723403,1.42,0.5319148936170213,0.5,10.74468085106383,10.1,-59999987.212765954,0.0,0.0,0.0,60000000.0,1890.8451468157582,1864.5600000000002,0.0,0.0,14.2,-0.8,10.76,0.0
