LP,DP
2275.736723,2397
2268.213966,2389.6
2260.691284,2382.2
2253.168677,2374.8
2245.646145,2367.4
2238.123689,2360
2230.601308,2352.6
2223.079002,2345.2
2215.556771,2337.8
2208.034615,2330.4
2200.512535,2323
2192.99053,2315.6
2185.4686,2308.2
2177.946745,2300.8
2170.424966,2293.4
2162.903261,2286
2155.381632,2278.6
2147.860079,2271.2
2140.3386,2263.8
2132.817197,2256.4
2125.295868,2249
2117.774615,2241.6
2110.253438,2234.2
2102.732335,2226.8
2095.211308,2219.4
2087.690356,2212
2080.169479,2204.6
2072.648677,2197.4
2065.127951,2190.2
2057.607299,2183
2050.086723,2175.8
2042.566222,2168.4
2035.045797,2161
2027.525446,2153.6
2020.005171,2146.2
2012.484971,2138.8
2004.964846,2131.4
1997.444796,2124
1989.924822,2116.6
1982.404923,2109.2
1974.885099,2101.8
1967.36535,2094.4
1959.845676,2087
1952.326078,2079.6
1944.806555,2072.2
1937.287106,2064.8
1929.767734,2057.4
1922.248436,2050
1914.729213,2042.6
1907.210066,2035.2
1899.690994,2027.8
1892.171997,2020.4
1884.653075,2013
1877.134229,2005.6
1869.615458,1998.2
1862.096761,1990.8
1854.57814,1983.4
1847.059595,1976
1839.541124,1968.6
1832.022729,1961.2
1824.504408,1953.8
1816.986163,1946.4
1809.467993,1939
1801.949899,1931.6
1794.431879,1924.2
1786.913935,1916.8
1779.396066,1909.4
1771.878272,1902
1764.360553,1894.6
1756.84291,1887.2
1749.325341,1879.8
1741.807848,1872.4
1734.29043,1865
1726.773087,1857.6
1719.255819,1850.2
1711.738627,1842.8
1704.221509,1835.4
1696.704467,1828
1689.1875,1820.6
1681.670608,1813.2
1674.153791,1805.8
1666.63705,1798.4
1659.120383,1791
1651.603792,1783.6
1644.087276,1776.2
1636.570835,1768.8
1629.05447,1761.4
1621.538179,1754
1614.021964,1746.6
1606.505823,1739.2
1598.989758,1731.8
1591.473768,1724.4
1583.957854,1717
1576.442014,1709.6
1568.92625,1702.2
1561.41056,1694.8
1553.894946,1687.4
1546.379407,1680
1538.863944,1672.6
1531.348555,1665.2
1523.833242,1657.8
1516.318003,1650.4
1508.80284,1643
1501.287752,1635.6
1493.772739,1628.2
1486.257801,1620.8
1478.742939,1613.4
1471.228151,1606
1463.713439,1598.6
1456.198802,1591.2
1448.68424,1583.8
1441.169753,1576.4
1433.655341,1569
1426.141005,1561.6
1418.626743,1554.2
1411.112557,1546.8
1403.598446,1539.4
1396.08441,1532
1388.570449,1524.6
1381.056564,1517.2
1373.542753,1509.8
1366.029018,1502.4
1358.515357,1495
1351.001772,1487.6
1343.488262,1480.2
1335.974827,1472.8
1328.461467,1465.4
1320.948183,1458
1313.434973,1450.6
1305.921839,1443.2
1298.40878,1435.8
1290.895796,1428.4
1283.382887,1421
1275.870053,1413.6
1268.357294,1406.2
1260.844611,1398.8
1253.332002,1391.4
1245.819469,1384
1238.307011,1376.6
1230.794628,1369.2
1223.28232,1361.8
1215.770087,1354.4
1208.257929,1347
1200.745847,1339.6
1193.233839,1332.2
1185.721907,1324.8
1178.21005,1317.4
1170.698267,1310
1163.18656,1302.6
1155.674929,1295.2
1148.163372,1287.8
1140.65189,1280.4
1133.140484,1273
1125.629152,1265.6
1118.117896,1258.2
1110.606715,1250.8
1103.095609,1243.4
1095.584578,1236
1088.073622,1228.6
1080.562741,1221.2
1073.051936,1213.8
1065.541205,1206.4
1058.03055,1199
1050.519969,1191.6
1043.009464,1184.2
1035.499034,1176.8
1027.988679,1169.4
1020.478399,1162
1012.968194,1154.6
1005.458065,1147.2
997.9480101,1139.8
990.4380306,1132.4
982.9281263,1125
975.418297,1117.6
967.9085428,1110.2
