k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,sSL,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL
34,0.0,0.0,2.138297872340426,2.0100000000000002,0.6382978723404256,0.6,8.723404255319148,8.2,0.0,0.0,0.0,0.0,12.23404255319149,11.5,2461.5384440625776,2440.38,0.0,12.23404255319149,12.2,-1.3,5.0
35,0.0,0.0,1.0106382978723403,0.9499999999999998,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.657763693979174,8.138297872340425,2461.391686462567,2440.38,0.0,8.657763693979174,10.2,-1.2,5.0
36,0.0,0.0,2.0638297872340425,1.94,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,9.891353553644183,9.297872340425531,2461.2243691783196,2440.38,0.0,9.891353553644183,10.2,-1.1,5.0
37,0.0,0.0,1.1170212765957448,1.05,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.110457220461749,8.563829787234043,2461.070067000276,2440.38,0.0,9.110457220461749,11.2,-1.2,5.0
38,0.0,0.0,1.0957446808510638,1.03,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,10.44590312358533,9.819148936170212,2460.893507544816,2440.38,0.0,10.44590312358533,12.3,-1.2,5.0
39,0.0,0.0,1.1170212765957448,1.05,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.694884563150747,10.053191489361703,2460.712798575256,2440.38,0.0,10.694884563150747,12.2,-1.0,5.0
40,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.626980534178362,9.98936170212766,2460.533221520221,2440.38,0.0,10.626980534178362,10.2,-0.6,5.0
41,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.714350384789498,8.191489361702128,2460.3855218139197,2440.38,0.0,8.714350384789498,10.2,-0.6,5.0
42,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,8.940697148030784,8.404255319148938,2460.234049809264,2440.38,0.0,8.940697148030784,10.2,-0.8,5.0
43,0.0,0.0,1.0425531914893618,0.9800000000000001,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.031235853327297,8.48936170212766,2460.0810689776586,2440.38,0.0,9.031235853327297,11.2,-0.7,5.0
44,0.0,0.0,1.0319148936170213,0.97,0.6382978723404256,0.6,8.723404255319148,8.2,0.0,0.0,0.0,0.0,11.057039384336804,10.393617021276595,2459.8943249068507,2440.38,0.0,11.057039384336804,12.3,-0.8,5.0
45,0.0,0.0,1.0957446808510638,1.03,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.672249886826618,10.03191489361702,2459.7139941810783,2440.38,0.0,10.672249886826618,12.3,-0.8,5.0
