k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
5735,105,35,0,1962.458534,0,25.67,0,70,65.842
5736,85,37,0,1962.456571,0,25.67,0,74,44.634
5737,33,33,0,1961.774267,1.360683049,25.67,0,66,0
5738,18,31,0,1954.633197,14.27821741,25.67,0,62,0
5739,50,30,0,1954.631242,0,25.67,0,60,18.02
5740,62,33,0,1954.629288,0,25.67,0,66,26.5448
5741,25,31,0,1950.988224,7.278217409,25.67,0,62,0
5742,46,29,0,1950.986273,0,25.67,0,58,15.1784
5743,45,41,0,1950.984322,0,25.67,0,82,2.218
5744,35,29,0,1950.982371,0,25.67,0,58,4.614
5745,15,22,0,1947.026859,7.907122032,25.67,0,44,0
5746,5,7,0,1945.880598,2.288629738,25.67,0,14,0
5747,1,7,0,1942.734337,6.288629738,25.67,0,14,0
5748,0,7,0,1939.088079,7.288629738,25.67,0,14,0
5749,0,6,0,1935.962442,6.247396918,25.67,0,12,0
5750,0,7,0,1932.316191,7.288629738,25.67,0,14,0
5751,0,6,0,1929.19056,6.247396918,25.67,0,12,0
5752,0,6,0,1926.064932,6.247396918,25.67,0,12,0
5753,0,6,0,1922.939308,6.247396918,25.67,0,12,0
5754,0,5,0,1920.334303,5.206164098,25.67,0,10,0
5755,0,6,0,1917.208684,6.247396918,25.67,0,12,0
5756,0,5,0,1914.603685,5.206164098,25.67,0,10,0
5757,0,6,0,1911.478072,6.247396918,25.67,0,12,0
5758,0,6,0,1908.352462,6.247396918,25.67,0,12,0
5759,0,6,0,1905.226855,6.247396918,25.67,0,12,0
5760,0,6,0,1902.101251,6.247396918,25.67,0,12,0
5761,0,6,0,1898.975651,6.247396918,25.67,0,12,0
5762,0,6,0,1895.850053,6.247396918,25.67,0,12,0
5763,0,6,0,1892.724459,6.247396918,25.67,0,12,0
5764,0,7,0,1889.078251,7.288629738,25.67,0,14,0
5765,0,6,0,1885.952664,6.247396918,25.67,0,12,0
5766,0,6,0,1882.827079,6.247396918,25.67,0,12,0
5767,0,6,0,1879.701498,6.247396918,25.67,0,12,0
5768,0,5,0,1877.096536,5.206164098,25.67,0,10,0
5769,0,6,0,1873.970961,6.247396918,25.67,0,12,0
5770,0,5,0,1871.366005,5.206164098,25.67,0,10,0
5771,5,5,0,1871.261051,0.206164098,25.67,0,10,0
5772,13,6,0,1871.25918,0,25.67,0,12,6.4852
5773,25,6,0,1874.262309,-6.01,25.67,0,12,12
5774,38,6,0,1883.508035,-18.4952,25.67,0,12,12
5775,51,8,0,1895.996351,-24.9804,25.67,0,16,16
5776,59,13,0,1904.826255,-17.6636,25.67,0,26,26
5777,70,76,0,1900.257503,9.133694294,25.67,0,152,0
5778,77,75,0,1899.709372,1.092461474,25.67,0,150,0
5779,87,57,0,1899.707472,0,25.67,0,114,26.5548
5780,94,51,0,1899.705573,0,25.67,0,102,39.2776
5781,74,46,0,1899.703673,0,25.67,0,92,25.0696
5782,93,47,0,1899.701773,0,25.67,0,94,42.3172
5783,77,41,0,1899.699874,0,25.67,0,82,32.9508
5784,93,41,0,1899.697974,0,25.67,0,82,48.3172
5785,92,38,0,1899.696074,0,25.67,0,76,50.3568
5786,86,65,0,1899.694175,0,25.67,0,130,17.5944
5787,78,83,0,1895.481113,8.422324032,25.67,0,166,0
5788,72,79,0,1890.350521,10.25739275,25.67,0,158,0
5789,62,76,0,1881.781784,17.13369429,25.67,0,152,0
5790,51,74,0,1868.754287,26.05122865,25.67,0,148,0
5791,39,58,0,1858.056667,21.39150354,25.67,0,116,0
5792,24,77,0,1829.967345,56.17492711,25.67,0,154,0
5793,17,61,0,1806.707914,46.515202,25.67,0,122,0
5794,7,26,0,1796.670081,20.07205331,25.67,0,52,0
5795,0,9,0,1791.982737,9.371095377,25.67,0,18,0
5796,0,6,0,1788.857246,6.247396918,25.67,0,12,0
5797,0,7,0,1785.211142,7.288629738,25.67,0,14,0
5798,0,6,0,1782.085659,6.247396918,25.67,0,12,0
5799,0,7,0,1778.439562,7.288629738,25.67,0,14,0
5800,0,6,0,1775.314085,6.247396918,25.67,0,12,0
5801,0,5,0,1772.709228,5.206164098,25.67,0,10,0
5802,0,6,0,1769.583756,6.247396918,25.67,0,12,0
5803,0,5,0,1766.978905,5.206164098,25.67,0,10,0
5804,0,6,0,1763.853439,6.247396918,25.67,0,12,0
5805,0,6,0,1760.727977,6.247396918,25.67,0,12,0
5806,0,7,0,1757.081901,7.288629738,25.67,0,14,0
5807,0,6,0,1753.956446,6.247396918,25.67,0,12,0
5808,0,6,0,1750.830993,6.247396918,25.67,0,12,0
5809,0,7,0,1747.184928,7.288629738,25.67,0,14,0
5810,0,6,0,1744.059482,6.247396918,25.67,0,12,0
5811,0,6,0,1740.93404,6.247396918,25.67,0,12,0
5812,0,6,0,1737.8086,6.247396918,25.67,0,12,0
5813,0,5,0,1735.20378,5.206164098,25.67,0,10,0
5814,0,6,0,1732.078347,6.247396918,25.67,0,12,0
5815,0,5,0,1729.473533,5.206164098,25.67,0,10,0
5816,0,5,0,1726.868721,5.206164098,25.67,0,10,0
5817,0,6,0,1723.743296,6.247396918,25.67,0,12,0
5818,0,5,0,1721.13849,5.206164098,25.67,0,10,0
5819,4,6,0,1720.01307,2.247396918,25.67,0,12,0
5820,12,6,0,1720.01135,0,25.67,0,12,5.5248
5821,23,6,0,1722.05423,-4.0892,25.67,0,12,12
5822,36,7,0,1728.839708,-13.5744,25.67,0,14,14
5823,52,11,0,1737.308379,-16.9408,25.67,0,22,22
5824,57,8,0,1752.678042,-30.7428,25.67,0,16,16
5825,65,8,0,1771.889289,-38.426,25.67,0,16,16
5826,73,8,0,1794.942117,-46.1092,25.67,0,16,16
5827,80,8,0,1821.356323,-52.832,25.67,0,16,16
5828,88,9,0,1850.112101,-57.5152,25.67,0,18,18
5829,99,12,0,1879.650051,-59.0796,25.67,0,24,24
5830,101,20,0,1898.148371,-37.0004,25.67,0,40,40
5831,93,15,0,1920.305073,-44.3172,25.67,0,30,30
5832,74,22,0,1922.837953,-5.0696,25.67,0,44,44
5833,75,72,0,1922.83603,0,25.67,0,144,0.03
5834,87,62,0,1922.834107,0,25.67,0,124,21.5548
5835,83,30,0,1922.832184,0,25.67,0,60,49.7132
5836,79,59,0,1922.830262,0,25.67,0,118,16.8716
5837,57,76,0,1911.761492,22.13369429,25.67,0,152,0
5838,35,54,0,1901.146294,21.22657226,25.67,0,108,0
5839,43,31,0,1901.144393,0,25.67,0,62,10.2972
5840,37,19,0,1901.142491,0,25.67,0,38,16.5348
5841,18,42,0,1888.274701,25.73177843,25.67,0,84,0
5842,14,7,0,1888.272813,0,25.67,0,14,6.4456
5843,0,8,0,1884.105993,8.329862557,25.67,0,16,0
5844,0,7,0,1880.459794,7.288629738,25.67,0,14,0
5845,0,6,0,1877.334215,6.247396918,25.67,0,12,0
5846,0,6,0,1874.20864,6.247396918,25.67,0,12,0
5847,0,6,0,1871.083067,6.247396918,25.67,0,12,0
5848,0,6,0,1867.957497,6.247396918,25.67,0,12,0
5849,0,5,0,1865.352547,5.206164098,25.67,0,10,0
5850,0,5,0,1862.7476,5.206164098,25.67,0,10,0
5851,0,5,0,1860.142655,5.206164098,25.67,0,10,0
5852,0,5,0,1857.537713,5.206164098,25.67,0,10,0
5853,0,5,0,1854.932773,5.206164098,25.67,0,10,0
5854,0,5,0,1852.327836,5.206164098,25.67,0,10,0
5855,0,6,0,1849.202286,6.247396918,25.67,0,12,0
5856,0,5,0,1846.597354,5.206164098,25.67,0,10,0
5857,0,5,0,1843.992426,5.206164098,25.67,0,10,0
5858,0,6,0,1840.866883,6.247396918,25.67,0,12,0
5859,0,5,0,1838.26196,5.206164098,25.67,0,10,0
5860,0,5,0,1835.65704,5.206164098,25.67,0,10,0
5861,0,6,0,1832.531506,6.247396918,25.67,0,12,0
5862,0,6,0,1829.405975,6.247396918,25.67,0,12,0
5863,0,5,0,1826.801063,5.206164098,25.67,0,10,0
5864,0,6,0,1823.675538,6.247396918,25.67,0,12,0
5865,0,6,0,1820.550016,6.247396918,25.67,0,12,0
5866,0,6,0,1817.424497,6.247396918,25.67,0,12,0
5867,5,6,0,1816.798981,1.247396918,25.67,0,12,0
5868,12,6,0,1816.797164,0,25.67,0,12,5.5248
5869,24,6,0,1819.320148,-5.0496,25.67,0,12,12
5870,37,6,0,1828.085728,-17.5348,25.67,0,12,12
5871,49,6,0,1842.6137,-29.0596,25.67,0,12,12
5872,60,7,0,1860.923858,-36.624,25.67,0,14,14
5873,69,6,0,1885.055797,-48.2676,25.67,0,12,12
5874,75,8,0,1909.068912,-48.03,25.67,0,16,16
5875,82,7,0,1937.943403,-57.7528,25.67,0,14,14
5876,88,8,0,1968.199065,-60.5152,25.67,0,16,16
5877,83,8,0,1996.053696,-55.7132,25.67,0,16,16
5878,91,8,0,2027.7499,-63.3964,25.67,0,16,16
5879,92,8,0,2059.926273,-64.3568,25.67,0,16,16
5880,90,8,0,2091.142213,-62.436,25.67,0,16,16
5881,89,8,0,2121.877922,-61.4756,25.67,0,16,16
5882,84,7,0,2151.7126,-59.6736,25.67,0,14,14
5883,76,8,0,2176.205648,-48.9904,25.67,0,16,16
5884,66,8,0,2195.896672,-39.3864,25.67,0,16,16
5885,40,7,0,2204.602476,-17.416,25.67,0,14,14
5886,45,8,0,2214.209271,-19.218,25.67,0,16,16
5887,35,7,0,2220.514057,-12.614,25.67,0,14,14
5888,25,7,0,2222.016837,-3.01,25.67,0,14,14
5889,13,8,0,2222.014614,0,25.67,0,16,4.4852
5890,3,7,0,2219.868078,4.288629738,25.67,0,14,0
5891,0,7,0,2216.221543,7.288629738,25.67,0,14,0
5892,0,8,0,2212.054395,8.329862557,25.67,0,16,0
5893,0,7,0,2208.407868,7.288629738,25.67,0,14,0
5894,0,7,0,2204.761345,7.288629738,25.67,0,14,0
5895,0,7,0,2201.114826,7.288629738,25.67,0,14,0
5896,0,7,0,2197.46831,7.288629738,25.67,0,14,0
5897,0,6,0,2194.342414,6.247396918,25.67,0,12,0
5898,0,6,0,2191.216521,6.247396918,25.67,0,12,0
5899,0,6,0,2188.090631,6.247396918,25.67,0,12,0
5900,0,6,0,2184.964745,6.247396918,25.67,0,12,0
5901,0,6,0,2181.838861,6.247396918,25.67,0,12,0
5902,0,5,0,2179.233597,5.206164098,25.67,0,10,0
5903,0,5,0,2176.628336,5.206164098,25.22,0,10,0
5904,0,5,0,2174.023077,5.206164098,25.22,0,10,0
5905,0,5,0,2171.417821,5.206164098,25.22,0,10,0
5906,0,6,0,2168.291951,6.247396918,25.22,0,12,0
5907,0,5,0,2165.686701,5.206164098,25.22,0,10,0
5908,0,5,0,2163.081453,5.206164098,25.22,0,10,0
5909,0,5,0,2160.476208,5.206164098,25.22,0,10,0
5910,0,6,0,2157.350349,6.247396918,25.22,0,12,0
5911,0,6,0,2154.224493,6.247396918,25.22,0,12,0
5912,0,6,0,2151.098641,6.247396918,25.22,0,12,0
