k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
12,0.0,0.0,1.7244897959183674,1.69,0.6122448979591837,0.6,8.469387755102042,8.3,0.0,0.0,0.0,23.852208000007522,23.37516384000737,2462.8,2440.38,-1.0,23.852208000007522,13.3,-1.3,5.27,0.0,0.0
13,0.0,0.0,3.89795918367347,3.8200000000000007,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,23.852231999999276,23.375187359999288,2462.4,2440.38,0.0,23.852231999999276,12.3,-1.4,5.27,0.0,0.0
14,0.0,0.0,3.7551020408163263,3.6799999999999997,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.85225599999103,23.375210879991208,2462.0,2440.38,0.0,23.85225599999103,13.3,-1.6,5.27,0.0,0.0
15,0.0,0.0,3.8571428571428577,3.7800000000000002,0.6122448979591837,0.6,6.632653061224491,6.5,0.0,0.0,0.0,23.852279999982784,23.37523439998313,2461.6000000000004,2440.38,0.0,23.852279999982784,13.3,-1.7,5.27,0.0,0.0
16,0.0,0.0,1.0816326530612246,1.06,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.852304000001823,23.375257920001786,2461.2000000000003,2440.38,0.0,23.852304000001823,14.3,-1.8,5.27,0.0,0.0
17,0.0,0.0,1.112244897959184,1.09,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.852327999993577,23.375281439993703,2460.8,2440.38,0.0,23.852327999993577,12.3,-1.6,5.27,0.0,0.0
18,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.852352000012615,23.375304960012365,2460.4,2440.38,0.0,23.852352000012615,11.3,-1.4,5.27,0.0,0.0
19,0.0,0.0,1.816326530612245,1.78,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.85237600000437,23.37532848000428,2460.0,2440.38,0.0,23.85237600000437,11.2,-1.4,5.27,0.0,0.0
20,0.0,0.0,1.7346938775510203,1.7,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.85239999996884,23.375351999969464,2459.6000000000004,2440.38,0.0,23.85239999996884,11.2,-1.2,5.27,0.0,0.0
21,0.0,0.0,0.979591836734694,0.96,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,23.852423999987877,23.37537551998812,2459.2000000000003,2440.38,0.0,23.852423999987877,10.2,-1.6,5.27,0.0,0.0
22,0.0,0.0,1.0204081632653061,1.0,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.852448000006916,23.375399040006776,2458.8,2440.38,0.0,23.852448000006916,12.3,-1.3,5.27,0.0,0.0
23,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85247199999867,23.375422559998697,2458.4,2440.38,0.0,23.85247199999867,12.3,-1.4,5.27,0.0,0.0
24,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.852495999990424,23.375446079990617,2458.0,2440.38,0.0,23.852495999990424,10.2,-1.1,5.27,0.0,0.0
25,0.0,0.0,1.0816326530612246,1.06,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.852519999982178,23.375469599982534,2457.6000000000004,2440.38,1.0,23.852519999982178,10.2,-1.0,5.27,0.0,0.0
26,0.0,0.0,1.2551020408163267,1.23,0.6122448979591837,0.6,6.632653061224491,6.5,0.0,0.0,0.0,23.852544000001217,23.37549312000119,2457.2000000000003,2440.38,0.0,23.852544000001217,11.2,-1.5,5.27,0.0,0.0
27,0.0,0.0,1.2959183673469388,1.27,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85256799999297,23.37551663999311,2456.8,2440.38,0.0,23.85256799999297,12.2,-1.4,5.27,0.0,0.0
28,0.0,0.0,1.673469387755102,1.64,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,23.85259200001201,23.37554016001177,2456.4,2440.38,1.0,23.85259200001201,13.3,-1.6,5.27,0.0,0.0
29,0.0,0.0,1.7551020408163265,1.72,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.852616000003763,23.375563680003687,2456.0,2440.38,0.0,23.852616000003763,11.2,-1.5,5.27,0.0,0.0
30,0.0,0.0,1.0612244897959182,1.04,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.852639999995517,23.375587199995607,2455.6,2440.38,0.0,23.852639999995517,11.3,-1.4,5.0,0.0,0.0
