k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
10,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,11.063829787234043,10.4,47.86170212765667,35.106382978720504,32.99999999999727,0.0,0.0,1898.15,1891.9800000000002,0.0,-32.99999999999727,15.199999999999998,-1.3,12.65
11,0.0,0.0,1.0851063829787235,1.02,0.5319148936170213,0.5,10.638297872340425,10.0,47.36170212765667,35.106382978720504,32.99999999999727,0.0,0.0,1898.7,1891.9800000000002,0.0,-32.99999999999727,14.2,-0.9,12.65
12,0.0,0.0,1.0000000000000002,0.9400000000000002,0.5319148936170213,0.5,11.595744680851066,10.9,48.23404255318859,35.106382978720504,32.99999999999727,0.0,0.0,1899.25,1891.9800000000002,0.0,-32.99999999999727,15.3,-0.7,12.65
13,0.0,0.0,0.946808510638298,0.89,0.6382978723404256,0.6,12.340425531914894,11.6,49.03191489362863,35.10638297873501,33.000000000010914,0.0,0.0,1899.8000000000002,1891.9800000000002,0.0,-33.000000000010914,15.199999999999998,-0.5,12.65
14,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,11.702127659574469,11.0,48.41489361701837,35.106382978720504,32.99999999999727,0.0,0.0,1900.3500000000001,1891.9800000000002,0.0,-32.99999999999727,15.199999999999998,0.0,12.65
15,0.0,0.0,0.946808510638298,0.89,0.5319148936170213,0.5,11.382978723404255,10.7,47.96808510638007,35.106382978720504,32.99999999999727,0.0,0.0,1900.9,1891.9800000000002,0.0,-32.99999999999727,15.199999999999998,0.0,12.65
16,0.0,0.0,1.0000000000000002,0.9400000000000002,0.6382978723404256,0.6,11.489361702127662,10.8,48.23404255318859,35.106382978720504,32.99999999999727,0.0,0.0,1901.45,1891.9800000000002,0.0,-32.99999999999727,15.199999999999998,0.0,12.65
17,0.0,0.0,2.085106382978724,1.9600000000000002,0.6382978723404256,0.6,9.893617021276597,9.3,47.72340425531625,35.106382978720504,32.99999999999727,0.0,0.0,1902.0,1891.9800000000002,0.0,-32.99999999999727,14.2,-0.6,12.65
18,0.0,0.0,2.095744680851064,1.97,0.6382978723404256,0.6,10.851063829787233,10.2,48.691489361713735,35.10638297873501,33.000000000010914,0.0,0.0,1902.5500000000002,1891.9800000000002,0.0,-33.000000000010914,15.199999999999998,-1.0,12.65
19,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,12.765957446808512,12.0,49.47872340425242,35.106382978720504,32.99999999999727,0.0,0.0,1903.1000000000001,1891.9800000000002,0.0,-32.99999999999727,15.199999999999998,-1.2,12.65
20,0.0,0.0,0.9574468085106385,0.9,0.5319148936170213,0.5,15.957446808510639,15.0,49.36170212765957,31.914893617021278,30.0,0.0,0.0,1903.6000000000001,1891.9800000000002,0.0,-30.0,19.3,-1.2,12.65
21,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,10.638297872340425,10.0,47.35106382978433,35.106382978720504,32.99999999999727,0.0,0.0,1904.15,1891.9800000000002,0.0,-32.99999999999727,14.2,-1.4,12.65
22,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,10.638297872340425,10.0,47.35106382978433,35.106382978720504,32.99999999999727,0.0,0.0,1904.7,1891.9800000000002,0.0,-32.99999999999727,14.2,-1.5,12.65
23,0.0,0.0,1.095744680851064,1.03,0.6382978723404256,0.6,8.936170212765958,8.4,48.96808510639169,38.29787234043424,36.000000000008185,0.0,0.0,1905.3000000000002,1864.5600000000002,0.0,-36.000000000008185,13.2,-1.5,12.65
24,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,9.25531914893617,8.7,49.276595744675056,38.29787234041973,35.99999999999454,0.0,0.0,1905.9,1864.5600000000002,0.0,-35.99999999999454,13.2,-1.3,12.65
