k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,s,v,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation
65,0.0,0.0,1.173469387755102,1.15,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.423157017909205,9.23469387755102,1495.6939806948697,1508.1000000000001,0.0,9.423157017909205,11.3,-1.3
66,0.0,0.0,1.0816326530612246,1.06,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.329446064139944,9.142857142857144,1495.536994233153,1508.1000000000001,0.0,9.329446064139944,11.3,-1.3
67,0.0,0.0,1.4795918367346939,1.45,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,0.0,10.98500624739692,10.76530612244898,1495.3524152587024,1508.1000000000001,2.0,10.98500624739692,11.3,-1.0
68,0.0,0.0,3.7244897959183674,3.65,0.6122448979591837,0.6,8.979591836734693,8.8,0.0,0.0,0.0,0.0,13.588088296543107,13.316326530612244,1495.1244517680113,1508.1000000000001,2.0,13.588088296543107,13.4,-1.0
69,0.0,0.0,3.7653061224489797,3.69,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,11.963765097875886,11.724489795918368,1494.9235605585952,1508.1000000000001,1.0,11.963765097875886,13.4,-1.0
70,0.0,0.0,3.7551020408163263,3.6799999999999997,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,11.9533527696793,11.714285714285714,1494.7228430888733,1508.1000000000001,0.0,11.9533527696793,14.4,-1.0
71,0.0,0.0,3.6530612244897958,3.5799999999999996,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,11.9533527696793,11.714285714285714,1494.5221258198687,1508.1000000000001,0.0,11.9533527696793,14.4,-1.1
72,0.0,0.0,1.7551020408163265,1.72,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,9.079550187421908,8.897959183673471,1494.3693054612859,1508.1000000000001,0.0,9.079550187421908,11.3,-1.3
73,0.0,0.0,1.510204081632653,1.48,0.6122448979591837,0.6,7.551020408163265,7.4,0.0,0.0,0.0,0.0,9.870887130362348,9.673469387755102,1494.2032963064742,1508.1000000000001,0.0,9.870887130362348,11.3,-1.3
74,0.0,0.0,1.1326530612244898,1.1099999999999999,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,10.006247396917951,9.806122448979592,1494.0350313132292,1508.1000000000001,0.0,10.006247396917951,12.3,-1.5
75,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,0.0,8.371511870054146,8.204081632653061,1493.8940120803636,1508.1000000000001,-1.0,8.371511870054146,12.3,-1.5
76,0.0,0.0,2.7755102040816326,2.7199999999999998,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,0.0,10.016659725114534,9.816326530612244,1493.7255738575996,1508.1000000000001,1.0,10.016659725114534,11.3,-1.5
77,0.0,0.0,3.4591836734693877,3.3899999999999997,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,10.818408996251563,10.60204081632653,1493.5437733154215,1508.1000000000001,2.0,10.818408996251563,11.3,-1.6
78,0.0,0.0,2.7142857142857144,2.66,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,10.058309037900877,9.85714285714286,1493.374641287683,1508.1000000000001,0.0,10.058309037900877,12.3,-1.5
79,0.0,0.0,2.387755102040816,2.34,0.6122448979591837,0.6,7.551020408163265,7.4,0.0,0.0,0.0,0.0,10.76634735526864,10.551020408163266,1493.193708790454,1508.1000000000001,0.0,10.76634735526864,12.3,-1.4
